Community,Opioid 10 wk avg.,Opioid YTD,Overall 10wk avg.,Overall YTD
Abbotsford,9.4,337,11.5,445
Agassiz-Harrison,0.3,22,0.3,29
Burnaby,4.5,171,6.9,287
Chilliwack,6.8,169,8.4,249
City of Langley,3,108,3.2,128
Coquitlam,2.5,87,3.5,137
Delta,0.6,58,1.7,105
Hope,0.8,14,1.1,22
Maple Ridge,4.9,236,5.6,316
Mission,2.4,73,3,106
New Westminister,2.1,113,3.9,172
Pitt Meadows,0.5,33,0.8,51
Port Coquitlam,2.4,68,3.5,114
Port Moody,1.2,43,1.7,63
Surrey,29.1,1132,36.9,1521
Township of Langley,2.7,116,3.6,166
White Rock,0.8,28,0.9,39
Other,6.1,233,9.1,367
FHA,80.1,3041,105.6,4317
