Hospital(Community),Homeless YTD,Overall YTD
Abbotsford Regional Hospital (Abbotsford),147,494
Burnaby Hospital (Burnaby),51,405
Chilliwack General Hospital (Chilliwack),61,283
Delta Hospital (Delta),0,53
Eagle Ridge Hospital (Port Moody),30,178
Fraser Canyon Hospital (Hope),2,24
Langley Memorial Hospital (Langley City),65,295
Mission Memorial Hospital (Mission),15,79
Peace Arch Hospital (Hope),8,143
Ridge Meadows Hospital (Maple Ridge),81,412
Royal Columbian Hospital (New Westminister),39,369
Surrey Memorial Hospital (Surrey),424,1582
Fraser Health,923,4317
